fecha,hora,ticker_us,cedear,bid_ars,offer_ars,spread_ars_pct,prof_bids,prof_offers,qbid1,qoff1,qbid5,qoff5,ars_bid5,ars_off5,bid_d,offer_d,spread_d_pct,px_subyacente_usd,mep_al30,ratio,prima_mep_pct,prima_d_pct
2026-07-20,16:23,AMD,AMD,79600,79750,0.188,5,5,,,,,,,52.5,52.7,0.38,509.93,1513.24,10,3.25,3.15
2026-07-20,16:23,PLTR,PLTR,71100,71225,0.176,5,5,,,,,,,46.91,47.13,0.468,135.78,1513.24,3,3.9,3.89
2026-07-20,16:23,AAL,AAL,11880,11930,0.42,5,5,,,,,,,7.83,7.9,0.89,15.21,1513.24,2,3.45,3.42
2026-07-20,16:23,MRK,MRK,39180,39280,0.255,2,5,,,,,,,25.85,26,0.579,125.05,1513.24,5,3.66,3.66
2026-07-20,16:23,PEP,PEP,11800,11820,0.169,5,5,,,,,,,7.8,7.84,0.512,134.83,1513.24,18,4.19,4.4
2026-07-20,16:23,PG,PG,15600,15650,0.32,5,5,,,,,,,10.31,10.4,0.869,148.66,1513.24,15,4.19,4.48
2026-07-20,16:23,UNH,UNH,20110,20150,0.199,5,5,,,,,,,13.27,13.34,0.526,423.28,1513.24,33,3.71,3.73
2026-07-20,16:23,IBIT,IBIT,5805,5820,0.258,5,5,,,,,,,3.84,3.84,0.0,36.92,1513.24,10,4.04,4.01
2026-07-20,16:23,SPY,SPY,19480,19490,0.051,5,5,,,,,,,12.88,12.9,0.155,,1513.24,60,,
2026-07-20,16:23,QQQ,QQQ,54800,54900,0.182,5,5,,,,,,,36.26,36.34,0.22,697.53,1513.24,20,3.93,4.08
2026-07-20,16:23,DIA,DIA,40680,40760,0.196,5,5,,,,,,,26.93,26.97,0.148,,1513.24,20,,
2026-07-20,16:23,IWM,IWM,46060,46100,0.087,5,5,,,,,,,30.39,30.52,0.427,,1513.24,10,,
